Tên tr??ng,N?m,Mã ngành,Tên ngành,T? h?p môn,?i?m chu?n,Ghi chú
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - A),A,27,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - A1),A1,25.75,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - C),C,25.5,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - D1),D1,24.5,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - A),A,28.75,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - A1),A1,27.5,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - C),C,29,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - D1),D1,27.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (Nam - A),A,27.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (Nam - A1),A1,26.25,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (N? - A),A,29,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (N? - A1),A1,27.25,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (Nam - A),A,25.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (Nam - A1),A1,25.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (N? - A),A,28.25,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (N? - A1),A1,27.75,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (Nam - A),A,26.5,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (Nam - C),C,25.75,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (Nam - D1),D1,24,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (N? - A),A,29.25,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (N? - C),C,30,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (N? - D1),D1,27,
H?c Vi?n An Ninh Nhân Dân,2015,7220201,Ngôn ng? Anh (Nam - D1),D1,23.69,
H?c Vi?n An Ninh Nhân Dân,2015,7220201,Ngôn ng? Anh (N? - D1),D1,28.25,
H?c Vi?n An Ninh Nhân Dân,2015,7220204,Ngôn ng? Trung Qu?c (Nam),D1,21.75,
H?c Vi?n An Ninh Nhân Dân,2015,7220204,Ngôn ng? Trung Qu?c (N?),D1,26.94,
H?c Vi?n An Ninh Nhân Dân,2016,7480202_DS,An toàn thông tin (h? dân s?),A00; A01; D01,---,
H?c Vi?n An Ninh Nhân Dân,2016,7480201_DS,Công ngh? thông tin (h? dân s?),A00; A01; D01,15,
H?c Vi?n An Ninh Nhân Dân,2016,7380101_DS,Lu?t (h? dân s?),A00; A01; C03; D01,15,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (N?),D01,27.75,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (N?),C03,29.75,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (N?),A01,26.75,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (Nam),D01,24,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (Nam),C03,24.25,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (Nam),A01,25.5,
H?c Vi?n An Ninh Nhân Dân,2016,7480202,An toàn thông tin (N?),A00,27,
H?c Vi?n An Ninh Nhân Dân,2016,7480202,An toàn thông tin (Nam),A01,28.25,
H?c Vi?n An Ninh Nhân Dân,2016,7480202,An toàn thông tin (Nam),A00,27.25,
H?c Vi?n An Ninh Nhân Dân,2016,7220201,Ngôn ng? Anh (N?),D01,25.5,
H?c Vi?n An Ninh Nhân Dân,2016,7220201,Ngôn ng? Anh (Nam),D01,24.5,
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (Nam),A01,27.75,Trong s? 08 thí sinh cùng m?c 27.75 l?y 03 thí sinh: 02 thí sinh có t?ng ?i?m 03 môn ch?a làm tròn t? 27.2 ?i?m; 01 thí sinh có t?ng ?i?m 03 môn ch?a làm tròn ??t 27.15 và môn toán ??t 9.4
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (Nam),C03,25.5,Trong s? 29 thí sinh cùng m?c 25.5 l?y 04 thí sinh: 03 thí sinh có t?ng ?i?m 3 môn ch?a làm tròn là 25.05; 01 thí sinh có t?ng ?i?m 03 môn ch?a làm tròn 24.95 và môn V?n ??t 8.25
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (Nam),D01,26.25,
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (N?),A01,29.5,
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (N?),C03,28,Trong s? 03 thí sinh cùng m?c 28.0 l?y 02 thí sinh có t?ng ?i?m 3 môn ch?a làm tròn t? 26.6
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (N?),D01,29,Trong s? 02 thí sinh cùng m?c 29.0 l?y 01 thí sinh có t?ng ?i?m 3 môn ch?a làm tròn ??t 25.5 và ?i?m ti?ng Anh ??t 8.2
H?c Vi?n An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh,B00,---,
H?c Vi?n An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh ??i v?i nam,"A01, B00, C03, D01",24.7,"Tiêu chí ph?: t?ng ?i?m 3 môn 24.7 ?i?m, Toán 9.0 ?i?m"
H?c Vi?n An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh ??i v?i nam,"A01, B00, C03, D01",24.2,Tiêu chí ph?: t?ng ?i?m 3 môn 21.7
H?c Vi?n An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh ??i v?i nam,"A01, B00, C03, D01",24.7,Tiêu chí ph?: t?ng ?i?m 3 môn 24.45
H?c Vi?n An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh ??i v?i n?,"A01, B00, C03, D01",25.5,
H?c Vi?n An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh ??i v?i n?,"A01, B00, C03, D01",25.8,
H?c Vi?n An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh ??i v?i n?,"A01, B00, C03, D01",26.1,
H?c Vi?n An Ninh Nhân Dân,2018,7860100,G?i ?ào t?o ngoài ngành,"A01, B00, C03, D01",18.45,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía B?c ??i v?i Nam,A01,25,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía B?c ??i v?i Nam,C03,23.32,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía B?c ??i v?i Nam,D01,22.35,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía B?c ??i v?i N?,A01,26.65,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía B?c ??i v?i N?,C03,26.64,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía B?c ??i v?i N?,D01,25.9,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía Nam ??i v?i Nam,A01,21.42,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía Nam ??i v?i Nam,C03,22.95,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía Nam ??i v?i Nam,D01,20.55,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía Nam ??i v?i N?,A01,26.24,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía Nam ??i v?i N?,C03,25.68,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,Nghi?p v? An ninh phía Nam ??i v?i N?,D01,26.05,
H?c Vi?n An Ninh Nhân Dân,2019,7480202,An toàn thông tin phía B?c,A00,26.72,
H?c Vi?n An Ninh Nhân Dân,2019,7480202,An toàn thông tin phía B?c,A01,24.75,
H?c Vi?n An Ninh Nhân Dân,2019,7480202,An toàn thông tin phía Nam,A00,24.64,
H?c Vi?n An Ninh Nhân Dân,2019,7480202,An toàn thông tin phía Nam,A01,21.28,
H?c Vi?n An Ninh Nhân Dân,2019,7860100,G?i ?ào t?o ngành Y,B00,19.79,
H?c Vi?n An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,A01,21.54,??i v?i nam
H?c Vi?n An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,C03,20.66,??i v?i nam
H?c Vi?n An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,D01,21.78,??i v?i nam
H?c Vi?n An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,A01,27.7,??i v?i n?
H?c Vi?n An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,C03,28.1,??i v?i n?
H?c Vi?n An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,D01,28.18,??i v?i n?
H?c Vi?n An Ninh Nhân Dân,2020,7480202,An toàn thông tin,A00,28.03,Phía b?c
H?c Vi?n An Ninh Nhân Dân,2020,7480202,An toàn thông tin,A01,23.46,Phía b?c
H?c Vi?n An Ninh Nhân Dân,2020,7480202,An toàn thông tin,A00,27.45,Phía nam
H?c Vi?n An Ninh Nhân Dân,2020,7480202,An toàn thông tin,A01,23.65,Phía nam
H?c Vi?n An Ninh Nhân Dân,2020,,G?i ?ào t?o ngành Y,B00,25.75,
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,26.2,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,27.24,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,26.66,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,27.56,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,27.81,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,29.99,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,28.55,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,29.26,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,26.51,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,26.73,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,27.08,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,26.49,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,28.01,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,29.84,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,28.69,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,29.3,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,26.15,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,26.34,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,27.2,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,26.08,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,26.09,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,28.16,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,28.41,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,28.2,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,22.63,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,21.96,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,20.25,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A00,27.69,"?i?m trúng tuy?n nam, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A01,26.55,"?i?m trúng tuy?n nam, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A00,27.28,"?i?m trúng tuy?n n?, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A01,29.39,"?i?m trúng tuy?n n?, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A00,23.14,?i?m trúng tuy?n nam; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A01,24.86,?i?m trúng tuy?n nam; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A00,24.94,?i?m trúng tuy?n n?; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2021,7480202,An toàn thông tin,A01,26.8,?i?m trúng tuy?n n?; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2021,7720101,Y khoa,B00,24.45,?i?m trúng tuy?n nam; Phía B?c
H?c Vi?n An Ninh Nhân Dân,2021,7720101,Y khoa,B00,23.05,?i?m trúng tuy?n nam; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,19.03,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,19.62,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,20.53,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,20.33,?i?m trúng tuy?n nam; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,23.88,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,25.66,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,24.92,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,25.3,?i?m trúng tuy?n n?; ??a bàn 1
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,21.61,"?i?m trúng tuy?n nam; ??a bàn 2; Tiêu chí ph?: Thí sinh có t?ng ?i?m c?a 03 môn thu?c t? h?p xét tuy?n (chi?m t? l? 40%) và ?i?m bài thi B? Công an (chi?m t? l? 60%) ???c quy v? thang ?i?m 30 làm tròn ??n 02 ch? s? th?p phân (không tính ?i?m ?u tiên, ?i?m th??ng) ??t 21.11?"
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,22.39,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,21.84,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,21.89,?i?m trúng tuy?n nam; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,24.69,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,23.16,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,24.56,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,22.44,?i?m trúng tuy?n n?; ??a bàn 2
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,20.06,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,20.92,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,21.63,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,20.96,?i?m trúng tuy?n nam; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,22.13,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,24.94,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,25.3,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,24.64,?i?m trúng tuy?n n?; ??a bàn 3
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A00,19.12,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,A01,19.47,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,C03,20.24,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2022,7860100,Nghi?p v? An ninh,D01,18.3,?i?m trúng tuy?n nam; ??a bàn 8
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A00,21.84,"?i?m trúng tuy?n nam, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A01,17.94,"?i?m trúng tuy?n nam, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A00,21.85,"?i?m trúng tuy?n n?, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A01,23.26,"?i?m trúng tuy?n n?, Phía b?c"
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A00,18.89,?i?m trúng tuy?n nam; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A01,17.67,?i?m trúng tuy?n nam; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A00,21.22,?i?m trúng tuy?n n?; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2022,7480202,An toàn thông tin,A01,22,?i?m trúng tuy?n n?; Phía Nam
H?c Vi?n An Ninh Nhân Dân,2022,7720101,Y khoa,B00,15.64,?i?m trúng tuy?n nam; Phía B?c
H?c Vi?n An Ninh Nhân Dân,2022,7720101,Y khoa,B00,15.1,?i?m trúng tuy?n nam; Phía Nam
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - A),A,25,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - A1),A1,23.5,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - C),C,23.5,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - D1),D1,21.75,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - A),A,26.75,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - A1),A1,26.25,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - C),C,27,
??i H?c An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - D1),D1,25.75,
??i H?c An Ninh Nhân Dân,2016,7860100,Nghi?p v? An ninh (N?),D01,25.5,
??i H?c An Ninh Nhân Dân,2016,7860100,Nghi?p v? An ninh (Nam),D01,22.5,
??i H?c An Ninh Nhân Dân,2016,7860100,Nghi?p v? An ninh (N?),C03,---,
??i H?c An Ninh Nhân Dân,2016,7860100,Nghi?p v? An ninh (Nam),C03,---,
??i H?c An Ninh Nhân Dân,2016,7860100,Nghi?p v? An ninh (N?),A01,25.25,
??i H?c An Ninh Nhân Dân,2016,7860100,Nghi?p v? An ninh (Nam),A01,24.25,
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (Nam),A01,26.75,Trong s? 05 thí sinh cùng m?c 26.75 l?y 04 thí sinh có t?ng ?i?m 03 môn ch?a làm tròn t? 25.75 ?i?m
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (N?),A01,28.5,Trong s? 02 thí sinh cùng m?c 28.5 l?y 01 thí sinh có t?ng ?i?m 03 môn ch?a làm tròn là 27.1
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (Nam),C03,25,Trong s? 20 thí sinh cùng m?c 25.0 l?y 01 thí sinh có t?ng ?i?m 3 môn ch?a làm tròn là 23.95
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (N?),C03,26.25,Trong s? 06 thí sinh cùng m?c 26.25 l?y 02 thí sinh có t?ng ?i?m 3 môn ch?a làm tròn t? 24.75
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (Nam),D01,24.75,Trong s? 02 thí sinh cùng m?c 24.75 l?y 01 thí sinh có t?ng ?i?m 03 môn ch?a làm tròn là 24.3
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh (N?),D01,27.25,
??i H?c An Ninh Nhân Dân,2017,7860100,Nghi?p v? An ninh,B00,---,
??i H?c An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh (Nam),"A01, C03, D01",23.9,
??i H?c An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh (Nam),"A01, C03, D01",23.6,"tiêu chí ph? t?ng ?i?m 3 môn 21,1 ?i?m"
??i H?c An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh (Nam),"A01, C03, D01",22.95,"tiêu chí ph? t?ng ?i?m 3 môn 22,2 ?i?m"
??i H?c An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh (N?),"A01, C03, D01",24.3,
??i H?c An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh (N?),"A01, C03, D01",24.25,
??i H?c An Ninh Nhân Dân,2018,7860100,Nghi?p v? an ninh (N?),"A01, C03, D01",24.55,
??i H?c An Ninh Nhân Dân,2018,7860100,G?i ?ào t?o ngoài ngành Y,B00,18.45,
??i H?c An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,A01,19.54,Nam
??i H?c An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,C03,20.06,Nam
??i H?c An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,D01,21.54,Nam
??i H?c An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,A01,25.29,N?
??i H?c An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,C03,26.06,N?
??i H?c An Ninh Nhân Dân,2020,7860100,Nghi?p v? An ninh,D01,25.21,N?
??i H?c An Ninh Nhân Dân,2020,,G?i ?ào t?o ngành Y,B00,23.84,Nam
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,24.86,?i?m trúng tuy?n nam; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,26.11,?i?m trúng tuy?n nam; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,25.21,?i?m trúng tuy?n nam; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,25.89,?i?m trúng tuy?n nam; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,27.35,?i?m trúng tuy?n n?; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,27.63,?i?m trúng tuy?n n?; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,27.2,?i?m trúng tuy?n n?; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,27.69,?i?m trúng tuy?n n?; ??a bàn 4
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,25.68,?i?m trúng tuy?n nam; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,26.36,?i?m trúng tuy?n nam; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,26.53,?i?m trúng tuy?n nam; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,26.88,?i?m trúng tuy?n nam; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,28.5,?i?m trúng tuy?n n?; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,27.91,?i?m trúng tuy?n n?; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,27.94,?i?m trúng tuy?n n?; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,D01,29.51,?i?m trúng tuy?n n?; ??a bàn 5
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A00,24.01,?i?m trúng tuy?n nam; ??a bàn 6
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,A01,24.93,?i?m trúng tuy?n nam; ??a bàn 6
??i H?c An Ninh Nhân Dân,2021,7860100,Nghi?p v? An ninh,C03,24.38,?i?m trúng tuy?n nam; ??a bàn 6
